S.No,Timestamp,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments,age_bin
34,2014-08-27 11:39:00,42.0,Male,United States,WA,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Some of them,Some of them,Maybe,Yes,,No,I selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. I still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns.,41-50
35,2014-08-27 11:40:00,40.0,Female,United States,WI,No,No,Yes,Sometimes,1-5,No,Yes,Yes,Yes,No,No,,,Maybe,No,Some of them,No,No,Maybe,Yes,No,,31-40
36,2014-08-27 11:41:00,27.0,Male,United States,NY,No,No,Yes,Rarely,6-25,No,Yes,No,Yes,No,No,,Very easy,No,No,Yes,Yes,Maybe,Maybe,,No,,21-30
37,2014-08-27 11:41:00,29.0,Male,Canada,,No,No,No,Rarely,1-5,No,Yes,No,No,No,No,,Very easy,Yes,Maybe,Some of them,No,No,No,,No,,21-30
38,2014-08-27 11:41:00,38.0,Male,Portugal,,No,No,No,,100-500,No,Yes,No,Yes,No,No,,Somewhat easy,Maybe,No,Some of them,Some of them,No,Maybe,No,No,,31-40
39,2014-08-27 11:42:00,50.0,Male,United States,IN,No,No,No,,100-500,No,Yes,Yes,Yes,No,,,,No,No,Some of them,Yes,No,Maybe,,No,,41-50
40,2014-08-27 11:42:00,35.0,Male,United States,TX,No,No,Yes,Rarely,1000+,Yes,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,,31-40
41,2014-08-27 11:42:00,24.0,Male,United Kingdom,,No,No,Yes,Sometimes,6-25,No,Yes,No,No,No,No,,,Maybe,Maybe,Some of them,No,No,Yes,No,Yes,,21-30
42,2014-08-27 11:42:00,35.0,Male,United States,MI,No,No,No,,1000+,Yes,Yes,Yes,,,Yes,,Somewhat difficult,Yes,Yes,Some of them,No,No,Maybe,,No,,31-40
43,2014-08-27 11:43:00,27.0,Male,Canada,,No,Yes,Yes,Sometimes,1-5,No,Yes,No,Yes,No,No,Yes,Very difficult,Maybe,No,Some of them,No,No,No,Yes,No,,21-30
44,2014-08-27 11:43:00,18.0,Male,Netherlands,,No,No,No,Often,6-25,No,Yes,No,,No,No,,Somewhat difficult,Yes,Maybe,No,Some of them,No,No,No,No,,11-20
45,2014-08-27 11:43:00,30.0,Male,United States,IN,No,No,Yes,Sometimes,26-100,No,Yes,,No,No,No,,,No,No,No,No,No,Maybe,,No,,21-30
46,2014-08-27 11:43:00,38.0,Female,United States,TX,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,Our health plan has covered my psychotherapy and my antidepressant medication. My manager has been aware but discreet throughout. I did get negative reviews when my depression was trashing my delivery but y'know I wasn't delivering.,31-40
47,2014-08-27 11:43:00,28.0,Male,United Kingdom,,No,No,No,,26-100,No,Yes,,,No,No,,,No,Maybe,Some of them,Yes,Maybe,Yes,,No,,21-30
48,2014-08-27 11:43:00,34.0,Male,United States,TN,No,No,No,,6-25,No,Yes,No,No,No,No,,,No,No,Yes,Yes,Maybe,Yes,,No,,31-40
49,2014-08-27 11:43:00,26.0,Male,Canada,,Yes,No,No,Sometimes,1-5,No,Yes,No,Yes,Yes,No,,,No,No,Yes,Yes,No,No,Yes,No,,21-30
50,2014-08-27 11:44:00,30.0,Male,United States,IL,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,No,No,,,,Maybe,No,Some of them,Yes,No,No,,No,I just started a new job last week hence a lot of don't know's,21-30
51,2014-08-27 11:44:00,22.0,Male,United States,TX,No,Yes,Yes,Often,6-25,No,Yes,No,Yes,No,No,Yes,Very difficult,Maybe,No,No,No,No,Maybe,,No,,21-30
52,2014-08-27 11:45:00,33.0,Male,United States,UT,No,No,No,,100-500,Yes,Yes,,,,,,,No,No,Some of them,Yes,Maybe,Maybe,,No,,31-40
53,2014-08-27 11:45:00,31.0,Male,United States,,No,No,No,,100-500,Yes,Yes,,No,,,,,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,,No,,31-40
54,2014-08-27 11:45:00,32.0,Male,United States,TN,No,No,No,Never,1-5,Yes,Yes,,,No,No,,,Maybe,No,Some of them,Yes,No,No,,No,,31-40
55,2014-08-27 11:46:00,28.0,Male,Switzerland,,No,No,No,,100-500,No,Yes,No,No,No,No,,,No,No,No,No,No,Maybe,,No,,21-30
56,2014-08-27 11:46:00,27.0,Male,United States,NY,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,Yes,No,No,Yes,,Maybe,No,No,No,No,No,,No,,21-30
57,2014-08-27 11:46:00,32.0,Maile,United States,TN,No,Yes,No,,6-25,Yes,Yes,,No,No,No,,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No,,31-40
58,2014-08-27 11:47:00,24.0,Male,United States,NY,No,Yes,Yes,Sometimes,26-100,Yes,Yes,,No,No,No,,,No,Maybe,Some of them,Yes,Yes,Yes,No,No,,21-30
59,2014-08-27 11:47:00,26.0,Male,United States,TN,No,No,No,,26-100,No,No,No,No,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,,No,,21-30
60,2014-08-27 11:47:00,33.0,Male,Canada,,No,Yes,Yes,Often,6-25,Yes,Yes,,No,No,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe,,No,In addition to my own mental health issues I've known several coworkers that may be suffering and I don't know how to tell them I empathize and that I want to help.,31-40
61,2014-08-27 11:48:00,44.0,Male,United States,IA,No,Yes,Yes,Sometimes,1000+,No,No,Yes,No,No,,,,Yes,Maybe,Some of them,No,No,Maybe,,Yes,,41-50
62,2014-08-27 11:49:00,26.0,Female,Poland,,No,No,Yes,Sometimes,26-100,Yes,Yes,,,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No,,21-30
63,2014-08-27 11:50:00,27.0,Male,United Kingdom,,No,No,No,Never,100-500,No,Yes,Yes,,No,Yes,,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,,21-30
64,2014-08-27 11:50:00,26.0,Male,France,,No,No,No,,26-100,No,Yes,No,No,No,No,,Very easy,Yes,No,No,No,No,No,No,Yes,,21-30
65,2014-08-27 11:50:00,35.0,Male,Canada,,No,No,No,Sometimes,6-25,No,Yes,,No,No,No,,Somewhat easy,No,No,Some of them,Yes,No,Maybe,,No,,31-40
66,2014-08-27 11:51:00,40.0,Male,United States,CA,No,Yes,No,Sometimes,1000+,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Maybe,Some of them,No,No,No,No,Yes,,31-40
67,2014-08-27 11:51:00,23.0,Female,Australia,,No,Yes,Yes,Often,1-5,Yes,Yes,No,,No,No,,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,Thanks for doing this research.,21-30
68,2014-08-27 11:52:00,36.0,Male,United States,TX,No,No,No,Sometimes,100-500,Yes,Yes,Yes,No,,Yes,,,Maybe,No,Some of them,Some of them,Maybe,Yes,Yes,No,,31-40
69,2014-08-27 11:52:00,31.0,Female,United States,NM,No,No,No,,26-100,Yes,No,,No,,,,,Maybe,No,Some of them,No,No,Maybe,,No,,31-40
70,2014-08-27 11:52:00,34.0,Male,United States,NY,Yes,No,No,Rarely,1-5,Yes,Yes,No,No,No,No,,,Maybe,No,Some of them,No,No,No,,No,,31-40
71,2014-08-27 11:53:00,28.0,Male,France,,No,No,No,Never,26-100,No,Yes,No,No,No,No,,,Maybe,No,Some of them,Some of them,No,No,,No,,21-30
72,2014-08-27 11:53:00,34.0,Male,Canada,,No,No,No,Never,6-25,No,Yes,,,,,,Somewhat easy,No,No,Some of them,Yes,No,No,,No,,31-40
73,2014-08-27 11:54:00,23.0,Non-binary/Other,United States,MA,No,No,No,Rarely,1000+,No,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,Yes,Yes,No,No,No,No,,21-30
74,2014-08-27 11:56:00,38.0,Male,United Kingdom,,No,No,No,,26-100,No,Yes,No,No,No,,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Yes,No,,31-40
75,2014-08-27 11:56:00,33.0,Male,United States,CA,No,No,No,Never,1000+,No,Yes,,,Yes,,,,Maybe,No,Some of them,Some of them,No,Maybe,Yes,No,,31-40
76,2014-08-27 11:57:00,19.0,Male,United Kingdom,,No,No,No,,1-5,No,Yes,No,Yes,No,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe,No,No,,11-20
77,2014-08-27 11:57:00,25.0,Male,United States,WA,No,No,No,,1000+,Yes,Yes,Yes,Yes,Yes,Yes,,,No,No,Yes,Yes,Maybe,Yes,Yes,No,,21-30
78,2014-08-27 11:57:00,31.0,Male,United States,WA,Yes,Yes,No,Sometimes,1-5,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Yes,Yes,Maybe,Maybe,Yes,No,,31-40
79,2014-08-27 11:59:00,32.0,Male,United States,UT,No,Yes,Yes,Sometimes,26-100,Yes,Yes,No,No,No,No,,Somewhat difficult,Yes,No,Some of them,No,No,Yes,No,No,,31-40
80,2014-08-27 12:00:00,28.0,Male,Germany,,No,No,No,Never,6-25,Yes,Yes,,No,,,,Very easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,No,,21-30
81,2014-08-27 12:01:00,38.0,Male,United States,NY,No,Yes,No,Sometimes,100-500,Yes,Yes,Yes,Yes,No,Yes,,,No,No,Yes,Some of them,Maybe,Maybe,Yes,No,,31-40
82,2014-08-27 12:02:00,23.0,Male,United Kingdom,,No,No,No,Never,26-100,No,Yes,Yes,,Yes,,,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,,21-30
83,2014-08-27 12:02:00,30.0,Male,Canada,,No,No,No,Never,26-100,No,No,No,No,No,No,,,No,No,Some of them,Yes,No,No,No,No,,21-30
84,2014-08-27 12:03:00,27.0,Female,United States,NY,Yes,No,Yes,Often,1-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No,,21-30
85,2014-08-27 12:05:00,33.0,Male,United States,CA,No,Yes,No,Never,1000+,No,Yes,No,No,No,No,,,Yes,No,No,No,No,Maybe,No,No,,31-40
86,2014-08-27 12:05:00,31.0,Male,United States,TX,No,No,No,,26-100,No,Yes,,,No,No,,,No,No,Some of them,Yes,Maybe,Maybe,No,No,,31-40
87,2014-08-27 12:07:00,39.0,Male,United Kingdom,,Yes,No,Yes,Often,6-25,No,Yes,No,No,No,No,,Very difficult,Maybe,No,Some of them,No,No,Maybe,No,Yes,,31-40
88,2014-08-27 12:10:00,34.0,Female,United States,OR,No,Yes,Yes,Rarely,500-1000,Yes,Yes,Yes,,No,,,,Yes,Maybe,Some of them,Some of them,No,No,,No,,31-40
89,2014-08-27 12:11:00,29.0,Female,United States,FL,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,No,,,Maybe,No,Some of them,Some of them,No,Maybe,No,Yes,,21-30
90,2014-08-27 12:11:00,32.0,Male,United States,IL,No,No,No,,500-1000,No,Yes,,No,No,,,,No,No,Some of them,Some of them,No,No,,No,,31-40
91,2014-08-27 12:12:00,31.0,Male,United States,NY,No,No,No,Never,500-1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,,31-40
92,2014-08-27 12:13:00,40.0,Male,United States,TX,No,No,Yes,Sometimes,26-100,No,Yes,No,Yes,No,No,Yes,Very difficult,No,No,Yes,Yes,Yes,Yes,No,No,,31-40
93,2014-08-27 12:14:00,34.0,Male,United States,OH,No,No,No,,26-100,No,Yes,,No,No,No,,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,,No,,31-40
94,2014-08-27 12:15:00,18.0,Something Kinda Male?,Russia,,No,No,No,,26-100,Yes,Yes,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,Yes,,No,In Russia we have mandatory medical insurance. Every employer must pay 3.6% of every employee's salary to the insurance fund like a tax. Everyone gets free healthcare at public clinics and hospitals. Some types of healthcare including mental health are still funded from the government budget but that doesn't matter it's still FREE!However this is Russia :D I don't know much about what actually happens in mental hospitals here except that a lot of young people with male in their passports use these to avoid military draft and doctors seem to help them.,11-20
95,2014-08-27 12:15:00,25.0,Female,Canada,,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,,,,Maybe,No,Some of them,Yes,No,Maybe,,No,,21-30
96,2014-08-27 12:15:00,29.0,Male,United States,MN,No,No,No,Never,26-100,No,Yes,,No,No,,,,No,No,Yes,Yes,Maybe,Maybe,No,No,,21-30
97,2014-08-27 12:16:00,24.0,Male,United States,MO,No,Yes,No,Rarely,26-100,No,Yes,,,No,,,Somewhat easy,Maybe,Maybe,Some of them,No,No,Maybe,,No,,21-30
98,2014-08-27 12:17:00,31.0,Male,Mexico,,No,Yes,Yes,Sometimes,6-25,No,Yes,,No,No,No,,,No,No,Some of them,Yes,Maybe,Yes,No,No,,31-40
99,2014-08-27 12:18:00,33.0,Male,United States,AZ,No,No,Yes,Sometimes,6-25,No,Yes,No,Yes,No,No,,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,No,No,,31-40
100,2014-08-27 12:18:00,30.0,Male,United States,IN,No,No,Yes,Often,1-5,No,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,,21-30
101,2014-08-27 12:18:00,26.0,Female,Canada,,No,Yes,Yes,Sometimes,26-100,No,No,No,Yes,No,No,No,Very difficult,Yes,No,No,No,No,Maybe,No,Yes,In my previous workplace which had mental health protections policies and access to counsellors my Director went so far as to say to me in somewhat casual conversation A woman was murdered across the street. At best though she was bipolar and at worst - who knowsI have bipolar disorder. I have zero faith that an organization with policies in place could appropriately handle mental health. I have even less faith that a workplace without the policies in place could appropriately handle mental health. I can only imagine it's worse in full tech environments.,21-30
102,2014-08-27 12:18:00,44.0,Female,United States,MA,No,No,No,Never,100-500,No,Yes,Yes,,,,,,Maybe,Maybe,No,Some of them,No,No,,No,,41-50
103,2014-08-27 12:19:00,25.0,Male,United States,NY,No,Yes,No,,26-100,No,Yes,,No,,,,Very easy,No,No,Some of them,Yes,No,No,,No,,21-30
104,2014-08-27 12:20:00,33.0,Male,United States,WI,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,,31-40
105,2014-08-27 12:22:00,29.0,Male,United States,NY,No,No,No,Never,1000+,No,Yes,Yes,,Yes,,,Somewhat easy,No,No,Some of them,Yes,No,No,,No,,21-30
106,2014-08-27 12:23:00,35.0,Male,United States,MO,No,Yes,No,Rarely,6-25,No,Yes,Yes,,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,,No,,31-40
107,2014-08-27 12:23:00,35.0,Male,United States,OR,No,Yes,Yes,Sometimes,26-100,Yes,Yes,,,No,No,,Somewhat easy,No,No,Some of them,Yes,No,Maybe,No,No,I've seen negative consequences towards mental health conditions in previous workplaces.Working remote is empowering in this way.,31-40
108,2014-08-27 12:25:00,28.0,Male,Brazil,,No,Yes,Yes,Rarely,6-25,No,Yes,No,No,No,No,No,,Maybe,No,Yes,Yes,No,No,,Yes,,21-30
109,2014-08-27 12:28:00,34.0,Male,United States,TN,No,Yes,No,Never,6-25,Yes,Yes,Yes,No,No,No,,,Maybe,No,No,No,No,No,,No,,31-40
110,2014-08-27 12:28:00,32.0,Male,United States,WA,No,No,Yes,Sometimes,26-100,No,Yes,Yes,No,Yes,Yes,Yes,Somewhat difficult,Maybe,No,Some of them,Yes,No,Maybe,Yes,No,,31-40
111,2014-08-27 12:29:00,22.0,Male,United States,NY,No,No,Yes,Sometimes,500-1000,No,Yes,Yes,Yes,No,,Yes,,Yes,No,No,No,No,Yes,No,No,,21-30
112,2014-08-27 12:31:00,28.0,Male,United States,CA,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,,21-30
113,2014-08-27 12:31:00,45.0,Male,United States,MO,No,Yes,Yes,Rarely,6-25,Yes,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No,,41-50
114,2014-08-27 12:31:00,32.0,Male,United States,NY,No,No,No,Never,100-500,No,Yes,Yes,Yes,No,,,,Maybe,No,Some of them,Some of them,No,No,,No,,31-40
115,2014-08-27 12:31:00,28.0,Male,United States,TX,No,No,No,,1000+,No,Yes,,No,No,,,,Maybe,No,Some of them,No,No,Maybe,,No,,21-30
116,2014-08-27 12:31:00,26.0,Male,United Kingdom,,No,No,No,Never,6-25,No,Yes,,No,No,,,Very easy,No,No,Some of them,Some of them,No,No,,Yes,,21-30
117,2014-08-27 12:31:00,21.0,Male,United Kingdom,,Yes,No,No,Often,1-5,Yes,No,No,Yes,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,No,No,,21-30
118,2014-08-27 12:31:00,27.0,Male,Canada,,No,No,No,Rarely,6-25,No,No,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Some of them,Yes,No,No,,No,,21-30
119,2014-08-27 12:31:00,18.0,Male,United States,CT,No,No,Yes,Rarely,1-5,Yes,Yes,No,No,No,No,Yes,Very easy,No,No,Some of them,No,No,No,,No,,11-20
120,2014-08-27 12:32:00,35.0,Male,United States,CO,No,No,No,,26-100,Yes,Yes,,,No,,,,No,No,Some of them,Yes,Maybe,Maybe,,No,,31-40
121,2014-08-27 12:32:00,29.0,Male,United States,GA,No,No,No,Never,1000+,No,Yes,Yes,Yes,No,Yes,,,Yes,Yes,No,No,No,No,,No,,21-30
122,2014-08-27 12:33:00,25.0,Male,United States,DC,No,No,No,,26-100,Yes,Yes,,No,No,No,,Very easy,No,No,Some of them,Yes,No,No,,No,,21-30
123,2014-08-27 12:33:00,33.0,Male,United States,MN,No,Yes,Yes,Sometimes,6-25,Yes,Yes,,No,,,Yes,Very easy,No,No,Yes,Yes,No,Maybe,Yes,No,,31-40
124,2014-08-27 12:33:00,36.0,Male,United States,WA,No,No,No,Often,6-25,No,Yes,Yes,No,No,No,Yes,,Maybe,No,No,No,No,No,,No,,31-40
125,2014-08-27 12:33:00,27.0,Male,Canada,,No,No,Yes,Never,100-500,No,No,Yes,,No,No,,Very difficult,Maybe,No,Some of them,Yes,No,Maybe,No,Yes,,21-30
126,2014-08-27 12:34:00,27.0,Male,United States,WA,No,Yes,No,Never,500-1000,No,Yes,Yes,No,Yes,Yes,Yes,,Yes,No,Some of them,No,No,Yes,,No,,21-30
127,2014-08-27 12:34:00,27.0,Male,United Kingdom,,No,No,No,,6-25,No,Yes,No,No,No,No,,,No,No,Some of them,Some of them,No,No,,No,,21-30
128,2014-08-27 12:34:00,32.0,Male,United States,OR,No,No,Yes,Rarely,100-500,No,Yes,Yes,Yes,No,Yes,Yes,,Yes,No,No,Yes,No,No,,No,,31-40
129,2014-08-27 12:34:00,31.0,Male,United Kingdom,,No,Yes,No,Sometimes,6-25,No,Yes,No,No,No,No,,Somewhat easy,Maybe,Maybe,No,No,No,No,Yes,No,,31-40
130,2014-08-27 12:34:00,19.0,Male,Slovenia,,No,No,Yes,Sometimes,6-25,No,Yes,,No,No,No,,Somewhat easy,Yes,Yes,Some of them,No,No,No,,No,,11-20
131,2014-08-27 12:34:00,33.0,Male,United States,IL,No,Yes,Yes,Sometimes,1000+,No,Yes,Yes,Yes,No,No,,Very easy,Maybe,No,Yes,Some of them,No,Yes,No,No,,31-40
132,2014-08-27 12:35:00,32.0,Male,United States,CA,No,No,No,Rarely,1-5,Yes,Yes,No,Yes,No,No,,Very difficult,Maybe,No,Yes,Some of them,No,Yes,,No,,31-40
133,2014-08-27 12:36:00,27.0,Male,United States,NE,No,No,No,Never,26-100,No,Yes,,,,,,,No,No,Yes,Yes,Maybe,Maybe,,No,,21-30
134,2014-08-27 12:36:00,38.0,Male,Costa Rica,,No,No,No,,26-100,Yes,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Yes,No,No,,31-40
135,2014-08-27 12:36:00,24.0,Male,Canada,,No,No,Yes,Never,26-100,No,Yes,,No,No,No,,,No,No,Some of them,Yes,Maybe,Yes,,No,,21-30
136,2014-08-27 12:37:00,39.0,Male,United Kingdom,,No,No,No,Never,26-100,No,No,No,No,No,No,,,Yes,Maybe,No,No,No,No,,No,,31-40
